id#time_scaned#file_scaned#IPV4_SRC_ADDR#L4_SRC_PORT#IPV4_DST_ADDR#L4_DST_PORT#PROTOCOL#votes#threshold#detection_mode#result#confidence#detection_source#ips_matched
712907948f2c4a2c8c2b24f4735dfe90#2025-12-28 20:19:19#fcad026e0df04ba5836eec0aa90b7e2f_synscan.pcapng#172.16.0.8#36050#64.13.134.52#443#6#2#2#voting#attack#2/6#ML_ONLY#False
02dcc795dc85419cbd67ce877f24beaa#2025-12-28 20:19:19#fcad026e0df04ba5836eec0aa90b7e2f_synscan.pcapng#172.16.0.8#36050#64.13.134.52#1723#6#0#2#voting#benign#0/6#ML_BENIGN#False
595eb02cf2b54e6b89778555e241d995#2025-12-28 20:19:19#fcad026e0df04ba5836eec0aa90b7e2f_synscan.pcapng#172.16.0.8#36050#64.13.134.52#8080#6#2#2#voting#attack#2/6#ML_ONLY#False
bbbcb00edc0d4312a4986e1e46b91a4e#2025-12-28 20:19:19#fcad026e0df04ba5836eec0aa90b7e2f_synscan.pcapng#172.16.0.8#36051#64.13.134.52#8080#6#2#2#voting#attack#2/6#ML_ONLY#False
477c8287272044178821d41fd8a4994b#2025-12-28 20:19:19#fcad026e0df04ba5836eec0aa90b7e2f_synscan.pcapng#172.16.0.8#36051#64.13.134.52#23#6#2#2#voting#attack#2/6#ML_ONLY#False
6aa7d95e46d3462a8e13ebe4d36ff4be#2025-12-28 20:19:19#fcad026e0df04ba5836eec0aa90b7e2f_synscan.pcapng#172.16.0.8#36050#64.13.134.52#143#6#2#2#voting#attack#2/6#ML_ONLY#False
90465625aacf4d6d91f13ce3a02f8e30#2025-12-28 20:19:19#fcad026e0df04ba5836eec0aa90b7e2f_synscan.pcapng#172.16.0.8#36050#64.13.134.52#3306#6#2#2#voting#attack#2/6#ML_ONLY#False
efe1d45a3af34c33b7133034f73e6166#2025-12-28 20:19:19#fcad026e0df04ba5836eec0aa90b7e2f_synscan.pcapng#172.16.0.8#36050#64.13.134.52#199#6#0#2#voting#benign#0/6#ML_BENIGN#False
37cbfdb3e0c14cc8b703ddcdf949945b#2025-12-28 20:19:19#fcad026e0df04ba5836eec0aa90b7e2f_synscan.pcapng#172.16.0.8#36050#64.13.134.52#111#6#0#2#voting#benign#0/6#ML_BENIGN#False
8e3c37604d6746b7abf9c1f96cdd3572#2025-12-28 20:19:19#fcad026e0df04ba5836eec0aa90b7e2f_synscan.pcapng#172.16.0.8#36050#64.13.134.52#1025#6#0#2#voting#benign#0/6#ML_BENIGN#False
